survival_1,survival_2,survival_3,survival_4,survival_5,survival_6,survival_7,birth_1,birth_2,birth_3,birth_4,birth_5,birth_6,birth_7,overwrite_1,overwrite_2,overwrite_3,overwrite_4,overwrite_5,overwrite_6,Response
1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,2653
0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1326
1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1721
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,65
1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,3039
1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1503
1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1293
1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,2520
1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,3780
0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1968
0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2289
0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1180
0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,3519
1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,135
0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,696
0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1331
1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1364
0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1148
